evaluation_run,measurement,variant,phase,repeat,seconds
20260926T174427Z-1ce27d00,incremental_update,apply,warmup,0,136.573
20260926T174427Z-1ce27d00,incremental_update,apply,measured,1,136.257
20260926T174427Z-1ce27d00,incremental_update,apply,measured,2,134.438
20260926T174427Z-1ce27d00,incremental_update,apply,measured,3,133.152
20260926T174427Z-1ce27d00,analytical_refresh,full,warmup,0,66.448
20260926T174427Z-1ce27d00,analytical_refresh,auto,warmup,0,85.120
20260926T174427Z-1ce27d00,analytical_refresh,full,measured,1,66.247
20260926T174427Z-1ce27d00,analytical_refresh,auto,measured,1,87.171
20260926T174427Z-1ce27d00,analytical_refresh,auto,measured,2,89.922
20260926T174427Z-1ce27d00,analytical_refresh,full,measured,2,66.685
20260926T174427Z-1ce27d00,analytical_refresh,full,measured,3,66.072
20260926T174427Z-1ce27d00,analytical_refresh,auto,measured,3,85.580
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_off,warmup,0,210.290
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_on,warmup,0,218.961
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_off,measured,1,209.721
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_on,measured,1,224.893
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_on,measured,2,221.150
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_off,measured,2,198.464
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_off,measured,3,199.733
20260926T180757Z-afffd333,monitoring_overhead_ingestion,monitoring_on,measured,3,236.786
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_off,warmup,0,84.342
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_on,warmup,0,83.985
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_off,measured,1,76.295
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_on,measured,1,87.841
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_on,measured,2,85.760
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_off,measured,2,77.165
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_off,measured,3,81.340
20260926T180757Z-afffd333,monitoring_overhead_integration,monitoring_on,measured,3,90.420
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_off,warmup,0,45.667
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_on,warmup,0,72.389
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_off,measured,1,43.430
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_on,measured,1,70.863
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_on,measured,2,70.109
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_off,measured,2,44.062
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_off,measured,3,44.857
20260926T180757Z-afffd333,monitoring_overhead_refresh,monitoring_on,measured,3,70.406
20260926T180757Z-afffd333,validation_overhead,validation_off,warmup,0,172.056
20260926T180757Z-afffd333,validation_overhead,validation_on,warmup,0,218.251
20260926T180757Z-afffd333,validation_overhead,validation_off,measured,1,171.469
20260926T180757Z-afffd333,validation_overhead,validation_on,measured,1,223.102
20260926T180757Z-afffd333,validation_overhead,validation_on,measured,2,223.416
20260926T180757Z-afffd333,validation_overhead,validation_off,measured,2,177.305
20260926T180757Z-afffd333,validation_overhead,validation_off,measured,3,176.126
20260926T180757Z-afffd333,validation_overhead,validation_on,measured,3,221.635
